84,Demanda Total de Electricidad,Demanda total de Electricidad. FUENTE: INDEC.
85,Gas Entregado por tipo de usuario,Gas entregado por tipo de usuario en argentina. FUENTE: CAMMESA
86,Ventas en centros de compra,Ventas en shoppings. FUENTE: INDEC.
87,Ventas en Supermercados,Ventas en supermercados. FUENTE: INDEC
88,IPIM INDEC Manufacturero,Indice de Produccion Industrial Manufacturero. FUENTE: INDEC.
89,IPIM INDEC Alimentos y bebidas,Indice de Produccion Industrial Manufacturero de Alimentos y bebidas. FUENTE: INDEC
90,IPIM INDEC Carne vacuna,Indice de Produccion Industrial Manufacturero de Carne vacuna. FUENTE: INDEC
91,IPIM INDEC Carne aviar,Indice de Produccion Industrial Manufacturero de Carne aviar. FUENTE: INDEC
92,IPIM INDEC Fiambres y embutidos,Indice de Produccion Industrial Manufacturero de Fiambres y embutidos. FUENTE: INDEC
93,IPIM INDEC Preparación de frutas, hortalizas y legumbres,Indice de Produccion Industrial Manufacturero de Preparación de frutas, hortalizas y legumbres. FUENTE: INDEC
94,IPIM INDEC Molienda de oleaginosas,Indice de Produccion Industrial Manufacturero de Molienda de oleaginosas. FUENTE: INDEC
95,IPIM INDEC Productos lácteos,Indice de Produccion Industrial Manufacturero de Productos lácteos. FUENTE: INDEC
96,IPIM INDEC Molienda de cereales,Indice de Produccion Industrial Manufacturero de Molienda de cereales. FUENTE: INDEC
97,IPIM INDEC Galletitas, productos de panadería y pastas,Indice de Produccion Industrial Manufacturero de Galletitas, productos de panadería y pastas. FUENTE: INDEC
98,IPIM INDEC Azúcar, productos de confitería y chocolate,Indice de Produccion Industrial Manufacturero de Azúcar, productos de confitería y chocolate. FUENTE: INDEC
99,IPIM INDEC Yerba mate, té y café,Indice de Produccion Industrial Manufacturero de Yerba mate, té y café. FUENTE: INDEC
100,IPIM INDEC Gaseosas, aguas, sodas, cervezas, jugos para diluir, sidras y bebidas espirituosas,Indice de Produccion Industrial Manufacturero de Gaseosas, aguas, sodas, cervezas, jugos para diluir, sidras y bebidas espirituosas. FUENTE: INDEC
101,IPIM INDEC Vino,Indice de Produccion Industrial Manufacturero de Vino. FUENTE: INDEC
102,IPIM INDEC Otros productos alimenticios,Indice de Produccion Industrial Manufacturero de Otros productos alimenticios. FUENTE: INDEC
103,IPIM INDEC Productos de tabaco,Indice de Produccion Industrial Manufacturero de Productos de tabaco. FUENTE: INDEC
104,IPIM INDEC Preparación de hojas de tabaco,Indice de Produccion Industrial Manufacturero de Preparación de hojas de tabaco. FUENTE: INDEC
105,IPIM INDEC Cigarrillos,Indice de Produccion Industrial Manufacturero de Cigarrillos. FUENTE: INDEC
106,IPIM INDEC Productos textiles,Indice de Produccion Industrial Manufacturero de Productos textiles. FUENTE: INDEC
